	Series1_NHBE_SARS-CoV-2_1	Series1_NHBE_SARS-CoV-2_2	Series1_NHBE_SARS-CoV-2_3
NGF	1	4	6
VANGL1	769	729	2286
CASQ2	4	1	9
NHLH2	27	17	40
SLC22A15	262	299	678
MAB21L3	17	17	73
ATP1A1	7238	7765	21809
CD58	101	100	235
IGSF3	2294	2098	6178
MIR320B1	0	0	0
CD2	0	0	0
PTGFRN	6135	6085	17183
CD101	25	41	95
TTF2	249	304	747
MIR942	0	0	2
TRIM45	42	32	120
VTCN1	98	92	212
MAN1A2	589	696	1969
GDAP2	194	200	575
WDR3	635	712	2139
SPAG17	21	11	44
TBX15	0	0	0
WARS2	50	65	174
HAO2	0	0	0
HSD3B2	0	0	0
HSD3B1	0	0	0
HSD3BP4	0	0	0
LINC00622	0	2	4
ZNF697	166	185	419
PHGDH	79	43	183
HMGCS2	0	0	0
REG4	0	1	5
NBPF7	0	0	0
ADAM30	0	0	0
NOTCH2	2410	2429	7119
FAM72B	9	10	41
HIST2H2BA	7	2	7
FCGR1B	0	0	0
SRGAP2D	36	32	90
EMBP1	5	11	21
ANKRD20A12P	0	0	0
PPIAL4G	0	0	0
FAM72D	4	8	18
LINC00623	0	0	0
PPIAL4C	0	0	0
PPIAL4A	0	0	0
PFN1P2	2	2	3
NBPF9	96	140	330
PDE4DIP	555	640	1675
SEC22B	853	848	2506
NBPF10	470	549	1349
TXNIP	4354	4480	12964
POLR3GL	318	406	991
ANKRD34A	23	14	81
LIX1L	50	43	184
RBM8A	1911	1940	5549
GNRHR2	8	7	32
PEX11B	199	183	481
ITGA10	26	46	106
ANKRD35	23	11	56
PIAS3	628	589	1738
NUDT17	19	21	73
POLR3C	306	317	935
RNF115	185	219	584
CD160	1	1	1
PDZK1	25	11	48
GPR89A	21	16	99
PDZK1P1	0	0	0
NBPF11	0	0	0
HYDIN2	0	0	0
LOC728989	0	0	0
PRKAB2	650	609	1733
FMO5	6	3	16
CHD1L	592	630	1866
LINC00624	0	0	1
BCL9	361	412	1074
ACP6	214	190	641
GJA5	42	34	187
GJA8	0	0	0
GPR89B	2	5	14
MIR5087	0	0	0
NBPF14	88	80	231
PPIAL4F	0	0	0
PPIAL4D	0	0	0
NBPF15	46	57	157
PPIAL4E	0	0	0
HIST2H2BF	3	3	7
FCGR1A	0	0	0
HIST2H3D	1	0	0
HIST2H4A	0	0	0
HIST2H4B	0	0	0
HIST2H3C	0	0	0
HIST2H3A	0	0	0
HIST2H2AA4	0	0	0
HIST2H2AA3	0	0	0
HIST2H2BC	0	3	5
HIST2H2BE	174	181	493
HIST2H2AC	0	1	2
HIST2H2AB	0	0	1
BOLA1	30	14	66
SV2A	4	2	11
SF3B4	1173	937	3101
MTMR11	161	160	507
OTUD7B	538	630	1620
VPS45	307	341	1058
PLEKHO1	52	55	134
ANP32E	513	586	1837
CA14	1	0	2
APH1A	956	994	2511
C1orf54	9	11	28
MRPS21	1899	1972	6188
PRPF3	743	784	2252
RPRD2	681	711	2094
TARS2	653	615	1934
ECM1	1525	1198	4160
ADAMTSL4	336	318	1053
MIR4257	2	1	5
MCL1	3778	3889	11114
ENSA	1349	1276	4076
GOLPH3L	573	606	1674
HORMAD1	32	31	79
CTSS	127	148	406
CTSK	76	76	251
ARNT	664	645	1847
SETDB1	396	393	1167
CERS2	1482	1616	4486
ANXA9	34	40	102
BNIPL	59	79	217
C1orf56	15	15	38
CDC42SE1	2832	3168	8902
MLLT11	998	937	3206
GABPB2	104	122	348
SEMA6C	40	40	106
TNFAIP8L2	0	0	0
TNFAIP8L2-SCNM1	0	0	0
LYSMD1	111	74	280
SCNM1	2	0	5
TMOD4	2	5	3
VPS72	875	847	2528
PIP5K1A	1949	1921	5817
PSMD4	1234	1346	3979
ZNF687	315	259	686
PI4KB	979	964	2761
RFX5	1065	1078	2986
SELENBP1	53	46	102
PSMB4	1328	1365	3984
POGZ	873	870	2664
CGN	542	464	1480
TUFT1	889	900	2696
MIR554	0	0	0
SNX27	499	536	1454
CELF3	0	0	0
RIIAD1	0	0	0
MRPL9	337	306	919
OAZ3	16	12	61
TDRKH	118	139	340
LINGO4	0	0	1
RORC	16	9	38
C2CD4D	1	1	6
LOC100132111	10	5	24
THEM5	0	1	0
THEM4	220	226	551
S100A10	18603	20791	67548
S100A11	29432	30234	88282
TCHHL1	5	6	20
TCHH	11	13	38
RPTN	14	21	29
HRNR	1	0	0
FLG	96	59	249
FLG2	0	0	0
CRNN	25	15	99
LCE5A	0	0	4
CRCT1	99	82	411
LCE3E	3	1	3
LCE3D	3	2	26
LCE3C	0	0	3
LCE3B	0	0	0
LCE3A	0	0	0
LCE2D	0	0	0
LCE2C	0	0	0
LCE2B	0	0	0
LCE2A	0	0	0
LCE4A	0	0	0
C1orf68	1	2	2
KPRP	14	11	38
LCE1F	2	0	2
LCE1E	5	5	47
LCE1D	0	0	0
LCE1C	6	5	21
LCE1B	9	6	9
LCE1A	0	0	0
LCE6A	0	0	0
SMCP	0	0	3
IVL	2316	1646	7093
SPRR4	0	1	0
SPRR1A	218	165	700
SPRR3	681	624	2315
SPRR1B	2786	1680	6540
SPRR2D	547	340	1605
SPRR2A	598	468	1881
SPRR2B	2	1	0
SPRR2E	83	48	182
SPRR2F	7	2	16
SPRR2C	4	5	3
SPRR2G	1	0	0
LELP1	0	0	0
PRR9	0	0	0
LOR	0	0	0
PGLYRP3	16	11	34
PGLYRP4	120	129	357
S100A9	13634	11672	34937
S100A12	42	51	206
S100A8	1844	2004	6080
S100A7A	6	3	12
S100A7	13	14	52
S100A6	20294	20353	66047
S100A5	3	0	5
S100A4	146	151	425
S100A3	116	94	279
S100A2	86877	91154	254218
S100A16	6879	5179	18344
S100A14	23129	24857	70006
S100A13	521	527	1713
S100A1	2	0	6
CHTOP	575	537	1552
SNAPIN	129	113	363
ILF2	1847	2097	6119
NPR1	0	0	1
INTS3	1005	967	2796
SLC27A3	47	37	134
GATAD2B	482	577	1679
DENND4B	299	259	686
CRTC2	875	705	2292
SLC39A1	1484	1506	4266
CREB3L4	54	66	123
JTB	438	368	1189
RAB13	1583	1723	4900
RPS27	5545	5640	19051
NUP210L	0	0	1
TPM3	4230	3693	12255
MIR190B	0	0	0
C1orf189	0	0	0
C1orf43	1240	1071	3190
UBAP2L	5200	5471	15620
HAX1	707	709	2136
AQP10	3	8	10
ATP8B2	316	292	891
IL6R	427	410	1003
SHE	0	0	0
TDRD10	0	0	0
UBE2Q1	1138	1184	3366
CHRNB2	1	2	1
ADAR	3220	3515	11018
KCNN3	1	0	0
PMVK	149	106	323
PBXIP1	680	673	1719
PYGO2	290	253	807
SHC1	10389	9329	28104
CKS1B	199	257	867
MIR4258	2	2	14
FLAD1	551	463	1363
LENEP	0	0	0
ZBTB7B	996	679	2244
DCST2	2	3	9
DCST1	0	0	4
ADAM15	3675	2776	8192
EFNA4	147	101	357
EFNA3	186	172	492
EFNA1	1312	1175	3264
SLC50A1	612	659	2119
DPM3	131	61	184
KRTCAP2	432	381	1123
TRIM46	58	43	163
MUC1	724	613	1717
MIR92B	0	0	0
THBS3	287	307	836
MTX1	145	153	503
GBAP1	11	13	63
GBA	600	569	1636
FAM189B	566	470	1525
SCAMP3	509	392	1308
CLK2	559	608	1803
HCN3	34	34	80
PKLR	0	0	4
FDPS	3871	4129	13208
RUSC1-AS1	13	11	65
RUSC1	347	287	886
ASH1L	956	1064	3110
MIR555	0	0	0
POU5F1P4	0	0	0
ASH1L-AS1	5	8	4
MSTO1	7	9	8
MSTO2P	27	25	62
YY1AP1	825	859	2441
DAP3	802	957	2777
GON4L	957	906	2694
SYT11	22	11	27
RIT1	475	510	1465
SCARNA4	0	3	1
RXFP4	0	0	0
ARHGEF2	854	841	2491
SSR2	1516	1531	4745
UBQLN4	1106	1090	3091
LAMTOR2	1209	883	2770
RAB25	1054	987	3243
MEX3A	277	333	804
LMNA	2569	1605	5454
SEMA4A	163	136	431
SLC25A44	553	565	1748
PMF1	83	84	256
PMF1-BGLAP	0	0	0
BGLAP	0	0	0
PAQR6	36	46	124
SMG5	1049	1012	3220
TMEM79	196	172	537
VHLL	0	0	0
CCT3	4553	4858	14802
TSACC	10	14	80
RHBG	2	0	2
C1orf61	0	0	0
MIR9-1	0	0	0
MEF2D	898	838	2407
IQGAP3	107	102	297
TTC24	0	0	0
GPATCH4	677	745	2630
HAPLN2	1	0	0
BCAN	0	0	0
NES	11	11	11
CRABP2	2172	2082	6486
ISG20L2	673	719	2219
RRNAD1	151	116	311
MRPL24	565	546	1650
HDGF	7512	7817	23225
PRCC	666	669	1989
SH2D2A	34	12	94
NTRK1	0	0	0
INSRR	0	0	0
PEAR1	245	229	697
LRRC71	1	3	0
ARHGEF11	497	474	1243
MIR765	0	0	0
ETV3L	0	0	0
ETV3	217	274	774
CYCSP52	0	0	0
FCRL5	0	0	0
FCRL4	0	0	0
FCRL3	0	0	0
FCRL2	0	0	0
FCRL1	0	0	0
CD5L	0	0	0
CD1D	15	20	74
CD1A	0	0	0
CD1C	0	0	0
CD1B	0	0	0
CD1E	0	0	0
OR10T2	0	0	0
OR10K2	0	0	0
OR10K1	0	0	0
OR10R2	0	0	0
OR6Y1	0	0	0
OR6P1	0	0	0
OR10X1	0	0	0
OR10Z1	0	0	0
SPTA1	0	0	0
OR6K2	0	0	0
OR6K3	0	0	0
OR6K6	0	0	0
OR6N1	0	0	0
OR6N2	0	0	0
MNDA	0	0	0
PYHIN1	2	4	0
IFI16	2656	2819	7574
AIM2	6	7	25
CADM3	0	0	0
FCER1A	0	0	0
OR10J3	0	0	0
OR10J1	0	0	0
OR10J5	0	0	0
APCS	0	0	0
CRP	0	0	0
DUSP23	95	76	228
FCRL6	0	0	0
SLAMF8	0	1	0
VSIG8	1	0	0
TAGLN2	11393	11276	35728
IGSF9	339	205	753
SLAMF9	175	136	402
PIGM	101	64	201
KCNJ10	0	0	0
KCNJ9	0	1	4
IGSF8	391	288	891
ATP1A2	0	1	0
ATP1A4	0	0	0
CASQ1	0	0	0
PEA15	4130	4520	14461
DCAF8	1089	1197	3704
PEX19	756	848	2515
COPA	2609	2785	8633
SUMO1P3	11	11	27
NCSTN	2148	2303	6733
NHLH1	3	5	21
VANGL2	683	696	1921
SLAMF6	0	0	0
CD84	0	0	0
SLAMF1	0	0	0
CD48	0	0	0
SLAMF7	127	170	525
LY9	0	0	0
CD244	0	0	0
ITLN1	0	0	0
ITLN2	1	0	0
F11R	4279	4784	13428
TSTD1	131	109	462
USF1	657	727	1795
ARHGAP30	27	31	120
KLHDC9	13	3	14
PFDN2	610	642	1935
NIT1	332	323	1003
DEDD	406	415	1205
UFC1	894	909	2697
USP21	193	155	441
PPOX	82	86	252
B4GALT3	453	396	1123
ADAMTS4	1	2	0
NDUFS2	914	945	2872
FCER1G	2	4	5
APOA2	0	1	0
TOMM40L	283	284	812
MIR5187	0	0	0
NR1I3	0	3	13
PCP4L1	9	10	53
MPZ	31	29	60
SDHC	792	861	2593
FCGR2A	4	1	7
HSPA6	20	13	51
FCGR3A	0	0	0
FCGR2C	0	0	0
HSPA7	3	5	16
FCGR3B	0	0	0
FCGR2B	0	0	0
RPL31P11	0	0	0
FCRLA	14	19	60
FCRLB	7	5	8
DUSP12	137	103	370
ATF6	883	960	2834
OLFML2B	0	0	0
NOS1AP	7	5	27
MIR4654	0	0	0
MIR556	0	0	0
C1orf226	37	34	91
SH2D1B	0	0	5
UHMK1	494	508	1273
UAP1	679	663	2272
DDR2	4	6	3
HSD17B7	71	81	270
RGS4	1	3	6
RGS5	50	43	116
NUF2	51	44	117
PBX1	183	182	597
LOC100505795	0	0	0
LMX1A	0	0	0
RXRG	0	0	0
LOC400794	0	0	0
LRRC52	0	0	0
MGST3	1475	1765	5083
ALDH9A1	516	599	1682
LOC440700	0	0	0
TMCO1	1021	999	2851
UCK2	600	583	1909
MIR3658	0	0	0
FAM78B	2	1	2
MIR921	0	0	0
FMO9P	0	0	0
POGK	597	602	1846
TADA1	71	60	202
ILDR2	0	0	0
MAEL	0	0	0
GPA33	0	0	0
DUSP27	0	0	0
POU2F1	293	279	983
CD247	0	0	0
CREG1	423	437	1084
RCSD1	5	6	2
MPZL1	2482	2616	7653
ADCY10	1	0	1
MPC2	123	139	428
DCAF6	1057	1173	3294
GPR161	352	342	1003
TIPRL	503	560	1475
SFT2D2	68	64	214
ANKRD36BP1	0	0	7
TBX19	31	46	98
MIR557	0	0	0
LOC100505918	0	0	0
XCL2	0	0	0
XCL1	0	0	0
DPT	0	0	0
LINC00626	0	0	0
ATP1B1	1456	1557	3963
NME7	255	254	603
BLZF1	398	434	1304
SLC19A2	74	79	210
F5	8	4	30
SELP	0	0	0
SELL	2	3	13
SELE	0	0	0
METTL18	49	37	140
C1orf112	46	46	148
SCYL3	121	143	335
KIFAP3	298	290	934
METTL11B	0	0	0
MIR3119-2	0	0	0
MIR3119-1	0	0	0
GORAB	49	72	192
PRRX1	1	1	0
MROH9	0	0	0
FMO3	4	1	1
MIR1295A	0	0	0
MIR1295B	0	0	0
FMO6P	0	1	0
FMO2	11	14	20
FMO1	0	0	0
FMO4	18	27	73
TOP1P1	0	5	6
PRRC2C	7333	7858	22496
MYOC	0	0	0
VAMP4	157	127	338
METTL13	418	416	1318
DNM3	25	21	77
DNM3OS	0	0	0
MIR214	0	0	0
MIR3120	0	0	0
MIR199A2	0	0	0
C1orf105	0	0	0
PIGC	119	97	308
SUCO	268	300	710
FASLG	0	0	5
TNFSF18	0	0	1
TNFSF4	10	12	33
LOC100506023	0	3	7
PRDX6	1334	1150	3777
SLC9C2	0	1	2
ANKRD45	3	0	6
KLHL20	312	342	948
CENPL	52	46	205
DARS2	454	430	1381
GAS5-AS1	2	1	2
GAS5	1271	1280	4026
SNORD81	0	0	0
SNORD47	0	0	0
SNORD80	4	4	14
SNORD79	0	0	0
SNORD78	3	0	4
SNORD44	12	14	25
SNORD77	0	0	0
SNORD76	12	9	29
SNORD75	0	1	0
SNORD74	2	3	7
ZBTB37	17	9	41
SERPINC1	1	5	5
RC3H1	325	330	874
RABGAP1L	470	517	1382
GPR52	0	0	0
CACYBP	479	503	1544
MRPS14	170	195	677
TNN	0	0	0
KIAA0040	449	375	1262
TNR	0	0	0
SCARNA3	0	0	0
PAPPA2	2	4	12
ASTN1	5	7	15
MIR488	0	0	0
SEC16B	35	43	96
RASAL2-AS1	3	4	9
RASAL2	873	950	2540
TEX35	0	1	0
C1orf220	1	2	2
MIR4424	0	0	0
RALGPS2	283	274	721
ANGPTL1	0	0	0
FAM20B	710	758	2125
TOR3A	491	538	1331
ABL2	814	802	2358
SOAT1	255	213	674
AXDND1	1	0	6
NPHS2	0	0	0
TDRD5	0	0	0
FAM163A	0	0	0
TOR1AIP2	884	962	2689
TOR1AIP1	595	591	1799
CEP350	441	461	1264
QSOX1	3571	2783	8341
FLJ23867	1439	1470	4164
LHX4	0	1	2
ACBD6	408	367	1073
MIR3121	0	0	0
XPR1	596	616	1745
KIAA1614	7	2	1
STX6	879	897	2602
MR1	989	1088	3145
IER5	452	425	1327
CACNA1E	0	0	0
ZNF648	0	1	0
GLUL	11980	12315	34025
TEDDM1	0	0	0
LINC00272	0	0	0
RGSL1	0	0	0
RNASEL	251	281	695
RGS16	9	14	31
RGS8	0	0	0
NPL	26	47	88
DHX9	1743	1735	5459
SHCBP1L	0	0	0
LAMC1	5512	6163	16652
LAMC2	82264	84861	255564
NMNAT2	14	14	54
SMG7-AS1	0	0	0
SMG7	1517	1601	4680
NCF2	329	365	1195
ARPC5	916	618	2111
RGL1	41	50	119
APOBEC4	0	0	0
TSEN15	87	70	167
C1orf21	287	354	975
EDEM3	557	547	1488
FAM129A	288	354	900
RNF2	188	217	550
TRMT1L	289	332	987
SWT1	50	75	148
IVNS1ABP	1646	1722	5046
HMCN1	25	35	89
MIR548F1	0	0	0
PRG4	3	3	23
TPR	1966	2159	5892
OCLM	5	0	7
PDC	1	0	2
PTGS2	357	345	1030
PLA2G4A	63	82	268
RGS18	3	0	20
RGS21	0	0	0
RGS1	0	0	0
RGS13	0	0	0
RGS2	177	194	562
UCHL5	253	268	703
TROVE2	113	94	262
GLRX2	22	22	48
CDC73	497	553	1580
MIR1278	0	0	0
B3GALT2	0	0	0
KCNT2	0	0	0
MIR4735	0	0	0
CFH	1141	1245	3283
CFHR3	1	2	9
CFHR1	0	0	0
CFHR4	0	0	0
CFHR2	0	0	0
CFHR5	0	0	0
F13B	0	0	0
ASPM	60	64	154
ZBTB41	70	78	291
CRB1	0	1	3
DENND1B	87	70	215
C1orf53	1	1	0
LHX9	0	0	0
NEK7	152	181	424
ATP6V1G3	0	0	0
PTPRC	1	0	0
MIR181B1	0	0	2
MIR181A1	0	0	0
NR5A2	2	0	1
ZNF281	377	409	1131
KIF14	67	53	165
DDX59	129	170	397
CAMSAP2	1637	1825	5256
GPR25	0	0	0
KIF21B	30	10	57
CACNA1S	0	0	0
ASCL5	0	1	0
TMEM9	750	708	2323
IGFN1	23	22	65
PKP1	4560	4340	13358
TNNT2	16	19	76
LAD1	3868	3083	10132
TNNI1	2	0	0
PHLDA3	636	474	1279
CSRP1	1177	1062	3448
RPS10P7	4	6	4
NAV1	1045	1126	3482
MIR5191	0	0	0
MIR1231	0	0	0
IPO9	969	1009	2987
SHISA4	102	101	296
LMOD1	0	0	0
TIMM17A	734	824	2567
RNPEP	1245	1302	3667
ELF3	1883	1791	4521
GPR37L1	9	6	16
ARL8A	1256	1141	3607
PTPN7	0	0	0
PTPRVP	0	0	0
LGR6	7	1	18
UBE2T	77	62	254
PPP1R12B	262	280	954
SYT2	4	1	2
KDM5B	2019	2169	6059
LOC148709	0	3	1
RABIF	146	172	473
KLHL12	445	506	1241
ADIPOR1	3166	3408	10215
CYB5R1	1282	1220	3499
TMEM183A	8	6	14
TMEM183B	0	0	0
PPFIA4	277	263	699
MYOG	0	0	0
ADORA1	2	3	2
MYBPH	0	0	0
CHI3L1	2	2	9
CHIT1	0	1	0
BTG2	1941	1892	4953
FMOD	15	11	31
PRELP	0	0	0
OPTC	0	0	0
ATP2B4	2798	2988	9510
SNORA77	3	0	1
LINC00260	7	3	17
LAX1	0	0	2
ZC3H11A	1615	1677	4810
ZBED6	203	181	543
SNRPE	150	154	495
LINC00303	0	1	0
SOX13	274	205	719
ETNK2	256	255	631
REN	1	5	19
KISS1	0	0	3
GOLT1A	8	8	19
PLEKHA6	165	123	470
LINC00628	0	2	0
PPP1R15B	492	504	1490
PIK3C2B	160	166	493
MDM4	113	130	436
LRRN2	0	0	5
NFASC	84	82	234
CNTN2	0	0	0
TMEM81	58	41	109
RBBP5	341	338	1014
DSTYK	336	369	1056
TMCC2	80	61	165
NUAK2	383	312	1023
KLHDC8A	0	0	0
LEMD1-AS1	0	0	0
LEMD1	2	8	26
MIR135B	0	1	0
CDK18	1092	921	2663
LOC284578	0	0	0
ELK4	427	454	1344
SLC45A3	92	84	286
NUCKS1	2928	3576	9694
SLC41A1	379	371	1073
PM20D1	0	0	0
LOC284581	29	42	95
SLC26A9	9	9	39
FAM72A	12	6	21
AVPR1B	0	0	0
CTSE	0	2	4
SRGAP2C	0	0	0
SRGAP2B	0	0	0
SRGAP2	382	357	1171
IKBKE	351	298	846
RASSF5	151	154	491
EIF2D	516	526	1432
DYRK3	156	212	487
MAPKAPK2	1138	978	3133
IL10	0	0	0
IL19	3	5	10
IL20	0	1	3
IL24	1	2	4
PIGR	69	77	114
FCAMR	0	1	0
C1orf116	5587	5591	16666
YOD1	129	175	360
PFKFB2	276	296	800
C4BPB	0	0	0
C4BPA	0	0	0
CD55	290	392	924
CR2	0	0	0
CR1	0	1	3
CR1L	0	0	0
CD46	875	870	2576
MIR29C	2	4	20
MIR29B2	0	2	0
LOC148696	0	0	0
CD34	2	1	3
PLXNA2	875	851	2549
MIR205HG	1884	1585	4875
MIR205	20	20	37
CAMK1G	0	1	0
LAMB3	27130	22510	68089
MIR4260	13	19	52
G0S2	2602	1900	7007
HSD11B1	881	1051	3330
TRAF3IP3	2	2	15
C1orf74	627	593	1586
IRF6	5492	6300	18044
SYT14	2	2	2
SERTAD4-AS1	10	11	38
SERTAD4	53	48	151
HHAT	69	73	223
KCNH1	0	0	0
RCOR3	337	314	1047
TRAF5	37	32	123
LINC00467	72	68	206
RD3	0	0	0
SLC30A1	90	103	250
NEK2	58	68	140
LPGAT1	491	597	1568
INTS7	141	147	436
DTL	41	37	141
MIR3122	0	0	0
PPP2R5A	115	142	314
SNORA16B	0	0	2
TMEM206	202	202	565
NENF	311	289	743
ATF3	75	120	202
FAM71A	0	1	0
BATF3	0	0	2
NSL1	165	171	559
TATDN3	94	87	300
FLVCR1	79	85	234
VASH2	0	0	0
ANGEL2	122	119	331
RPS6KC1	336	417	1010
LINC00538	0	0	0
PROX1	5	7	22
SMYD2	310	292	908
PTPN14	1829	1776	5375
CENPF	403	394	1183
KCNK2	0	0	0
KCTD3	596	625	1918
USH2A	0	2	0
ESRRG	1	5	0
GPATCH2	188	202	572
SPATA17	10	9	33
LINC00210	0	0	0
RRP15	157	225	529
TGFB2	542	479	1501
LYPLAL1	93	53	184
RNU5F-1	0	0	0
SLC30A10	0	4	6
EPRS	2298	2664	6949
BPNT1	564	565	1738
IARS2	1219	1176	3690
MIR215	0	0	0
MIR194-1	0	0	0
RAB3GAP2	628	665	1984
SNORA36B	0	0	0
MARK1	324	373	965
C1orf115	71	70	198
MARC2	10	18	72
MARC1	40	40	150
HLX	0	0	0
C1orf140	0	0	0
DUSP10	548	517	1518
HHIPL2	0	1	3
TAF1A	46	43	111
MIA3	924	1101	2954
AIDA	185	193	535
BROX	207	248	678
FAM177B	0	0	4
DISP1	69	66	179
TLR5	32	28	75
SUSD4	15	7	33
CAPN8	8	2	16
CAPN2	8111	7739	22548
TP53BP2	588	664	1981
FBXO28	309	329	966
DEGS1	375	385	1098
NVL	235	238	710
MIR320B2	0	0	1
CNIH4	267	295	863
WDR26	1309	1412	3587
MIR4742	0	0	0
CNIH3	0	0	2
DNAH14	43	41	114
LBR	135	141	426
ENAH	1938	1893	5548
SRP9	233	204	514
EPHX1	469	537	1451
TMEM63A	370	324	1123
LEFTY1	0	0	0
PYCR2	417	353	1113
LEFTY2	0	0	0
SDE2	245	280	879
H3F3A	0	0	0
H3F3AP4	0	0	0
ACBD3	1239	1307	4164
MIXL1	0	0	0
LIN9	57	49	159
PARP1	1264	1418	3750
ITPKB	263	201	638
PSEN2	146	126	375
CDC42BPA	743	709	2247
ZNF678	30	28	61
ZNF847P	0	0	0
JMJD4	102	87	285
SNAP47	132	138	414
PRSS38	0	0	0
WNT9A	35	21	53
MIR5008	1	0	0
WNT3A	2	0	0
ARF1	3837	2989	9670
MIR3620	0	0	0
C1orf35	169	79	382
MRPL55	122	81	316
GUK1	1984	1063	3803
GJC2	2	4	5
IBA57	70	77	216
OBSCN	414	281	862
TRIM11	379	340	1047
TRIM17	36	38	76
HIST3H3	0	0	0
HIST3H2A	21	17	54
HIST3H2BB	2	1	1
MIR4666A	0	0	0
RNF187	1119	972	3364
RHOU	12	9	38
DUSP5P1	5	7	34
RAB4A	305	340	1016
SPHAR	0	0	0
CCSAP	113	115	330
ACTA1	0	0	2
NUP133	434	444	1354
ABCB10	141	180	381
TAF5L	299	236	754
URB2	123	127	451
GALNT2	4040	4004	11354
PGBD5	173	158	533
COG2	413	422	1174
AGT	0	0	0
CAPN9	2	4	0
C1orf198	172	146	468
TTC13	225	274	738
ARV1	129	127	310
FAM89A	4	23	55
MIR1182	0	0	0
TRIM67	0	0	2
LOC149373	0	0	0
C1orf131	173	190	522
GNPAT	414	445	1248
EXOC8	222	207	634
SPRTN	139	141	383
EGLN1	387	308	822
SNRPD2P2	0	0	0
TSNAX-DISC1	0	1	0
TSNAX	214	164	501
LINC00582	0	0	0
DISC1	1	0	0
DISC2	0	0	0
SIPA1L2	201	220	667
MAP10	17	18	35
NTPCR	148	171	483
KCNK1	145	136	387
MIR4427	0	0	0
SLC35F3	18	17	57
MIR4671	0	0	0
COA6	128	96	291
TARBP1	170	189	556
IRF2BP2	2468	2705	7930
LINC00184	0	3	0
TOMM20	1234	1266	3215
SNORA14B	4	6	24
RBM34	575	672	2111
ARID4B	695	843	2156
MIR4753	0	0	0
GGPS1	262	308	849
TBCE	292	328	840
B3GALNT2	320	364	929
GNG4	0	2	4
LYST	214	224	657
MIR1537	0	0	0
NID1	40	40	73
GPR137B	337	410	950
EDARADD	193	199	462
LGALS8	1668	1762	4835
LGALS8-AS1	7	3	17
HEATR1	563	594	1662
ACTN2	0	0	4
MTR	484	538	1583
RYR2	5	2	21
LOC100130331	1	0	0
ZP4	0	0	1
CHRM3	7	2	15
RPS7P5	0	0	0
FMN2	0	0	0
GREM2	0	0	0
RGS7	0	0	0
MIR3123	0	0	0
FH	540	555	1631
KMO	64	72	158
OPN3	361	403	1025
CHML	133	174	362
WDR64	0	0	0
EXO1	42	45	119
MAP1LC3C	0	0	0
PLD5	30	29	99
CEP170	582	612	1671
SDCCAG8	283	338	983
MIR4677	1	1	0
AKT3	258	257	698
LOC339529	0	0	0
ZBTB18	77	83	193
C1orf100	0	0	0
ADSS	324	304	717
DESI2	196	200	614
COX20	324	295	929
HNRNPU	4381	4314	11840
EFCAB2	20	21	59
KIF26B	45	37	134
SMYD3	83	80	255
TFB2M	68	56	167
CNST	193	229	660
SCCPDH	64	104	213
AHCTF1	902	1026	2636
ZNF695	1	5	7
ZNF670-ZNF695	0	0	0
ZNF670	14	7	20
ZNF669	35	28	78
C1orf229	0	0	0
ZNF124	19	26	45
MIR3916	19	28	58
VN1R5	0	0	0
ZNF496	75	38	147
NLRP3	0	0	4
OR2B11	0	0	0
OR2W5	0	0	0
GCSAML-AS1	0	0	0
OR2C3	0	0	0
GCSAML	0	0	0
OR2G2	0	0	0
OR2G3	0	0	0
OR13G1	0	0	0
OR6F1	0	0	0
OR1C1	0	0	0
OR14A16	0	0	0
OR11L1	0	0	0
TRIM58	12	3	25
OR2W3	0	2	2
OR2T8	0	0	0
OR2L13	0	0	0
OR2L8	0	0	0
OR2AK2	0	0	0
OR2L1P	0	0	0
OR2L5	0	0	0
OR2L2	0	0	0
OR2L3	0	0	0
OR2M1P	0	0	0
OR2M5	0	0	0
OR2M2	0	0	0
OR2M3	0	0	0
OR2M4	0	0	0
OR2T33	0	0	0
OR2T12	0	0	0
OR2M7	0	0	0
OR14C36	0	0	0
OR2T4	0	0	0
OR2T6	0	0	0
OR2T1	0	0	0
OR2T2	0	0	0
OR2T3	0	0	0
OR2T5	0	0	0
OR2G6	0	0	0
OR2T29	0	0	0
OR2T34	0	0	0
OR2T10	0	0	0
OR2T11	0	0	0
OR2T35	0	0	0
OR2T27	0	0	0
OR14I1	0	0	0
LYPD8	0	0	0
SH3BP5L	542	448	1290
MIR3124	0	0	0
ZNF672	187	172	579
ZNF692	419	408	1261
PGBD2	108	84	289
TUBB8	0	1	0
ZMYND11	712	800	2280
DIP2C	103	93	339
MIR5699	0	0	0
PRR26	0	0	0
LARP4B	889	913	2732
GTPBP4	1410	1631	4618
IDI2	2	0	0
IDI2-AS1	4	10	26
IDI1	1815	1954	5978
WDR37	274	287	821
LINC00200	0	0	0
ADARB2	2	0	1
ADARB2-AS1	0	0	0
LINC00700	0	0	0
LINC00701	0	0	0
PFKP	5979	4211	13729
PITRM1	1653	1707	5082
PITRM1-AS1	7	11	58
KLF6	4990	4948	14008
LINC00705	0	0	0
AKR1E2	9	12	34
AKR1C6P	0	0	0
AKR1C1	1186	1132	3420
AKR1C2	1417	1508	3990
AKR1C3	814	968	2544
AKR1C4	0	0	0
UCN3	0	0	0
TUBAL3	11	6	31
NET1	5966	7021	20577
CALML5	5	1	4
CALML3	499	286	765
ASB13	113	121	310
